artist_name;symbol;token_count;index_symbol_artist
Justin Bieber;sentiment;380;3
Justin Bieber;part of body;285;4
Justin Bieber;life;153;5
Justin Bieber;time references;112;6
Justin Bieber;day;109;7
Justin Bieber;suffering;89;8
Justin Bieber;night;84;9
Justin Bieber;nature;83;10
Justin Bieber;insane;70;11
Justin Bieber;dream;45;12
Justin Bieber;God/Christ;39;13
Justin Bieber;money;28;14
Justin Bieber;death;27;15
Justin Bieber;fire;24;16
Justin Bieber;hate;22;17
Justin Bieber;cities;17;18
Justin Bieber;freedom;17;19
Justin Bieber;bad words;15;20
Justin Bieber;authority/power;13;21
Justin Bieber;crime;13;22
Justin Bieber;killing;12;23
Justin Bieber;bitch;11;24
Justin Bieber;city;8;25
Justin Bieber;hell;7;26
Justin Bieber;war/weapons;6;27
Justin Bieber;darkness;5;28
Justin Bieber;nigga;4;29
Justin Bieber;weed/drugs/booze;3;30
Kanye West;people;911;1
Kanye West;bad words;701;2
Kanye West;love/tender;676;3
Kanye West;God/Christ;638;4
Kanye West;part of body;519;5
Kanye West;nigga;457;6
Kanye West;life;438;7
Kanye West;sentiment;398;8
Kanye West;day;295;9
Kanye West;bitch;230;10
Kanye West;time references;206;11
Kanye West;night;151;12
Kanye West;money;150;13
Kanye West;nature;149;14
Kanye West;killing;126;15
Kanye West;city;125;16
Kanye West;authority/power;102;17
Kanye West;death;99;18
Kanye West;suffering;91;19
Kanye West;hell;90;20
Kanye West;hate;79;21
Kanye West;dream;72;22
Kanye West;insane;70;23
Kanye West;war/weapons;59;24
Kanye West;the hood;50;25
Kanye West;freedom;41;26
Kanye West;weed/drugs/booze;40;27
Kanye West;fire;31;28
Kanye West;darkness;17;29
Kanye West;crime;16;30
Kanye West;cities;14;31
Kanye West;sex;14;32
Katy Perry;love/tender;382;1
Katy Perry;people;286;2
Katy Perry;sentiment;203;3
Katy Perry;part of body;198;4
Katy Perry;life;169;5
Katy Perry;time references;90;6
Katy Perry;night;82;7
Katy Perry;suffering;80;8
Katy Perry;nature;79;9
Katy Perry;day;68;10
Katy Perry;authority/power;38;11
Katy Perry;dream;35;12
Katy Perry;fire;34;13
Katy Perry;city;31;14
Katy Perry;bad words;30;15
Katy Perry;God/Christ;28;16
Katy Perry;cities;24;17
Katy Perry;crime;22;18
Katy Perry;insane;21;19
Katy Perry;freedom;20;20
