artist_name;song_title
Frank Sinatra;This Town
Frank Sinatra;This Was My Love
Frank Sinatra;Three Coins In The Fountain
Frank Sinatra;Tie A Yellow Ribbon Around The Ole Oak Tree
Frank Sinatra;Time After Time
Frank Sinatra;Tina
Frank Sinatra;To Love A Child
Frank Sinatra;Together
Frank Sinatra;Too Close For Comfort
Frank Sinatra;Too Marvelous For Words
Frank Sinatra;Triste
Frank Sinatra;Try A Little Tenderness
Frank Sinatra;Twin Soliloquies (Wonder How It Feels)
Frank Sinatra;Until The Real Thing Comes Along
Frank Sinatra;Violets For Your Furs
Frank Sinatra;Wait Till You See Her
Frank Sinatra;Walk Away
Frank Sinatra;Wandering
Frank Sinatra;Watch What Happens
Frank Sinatra;Watertown
Frank Sinatra;Wave
Frank Sinatra;We Hate To Leave
Frank Sinatra;We Open In Venice
Frank Sinatra;We Wish You The Merriest
Frank Sinatra;We'll Be Together Again
Frank Sinatra;We'll Gather Lilacs In The Spring
Frank Sinatra;We'll Meet Again
Frank Sinatra;What A Funny Girl (You Used To Be)
Frank Sinatra;What Are You Doing The Rest Of Your Life?
Frank Sinatra;What Is This Thing Called Love
Frank Sinatra;What Now My Love
Frank Sinatra;What Time Does The Next Miracle Leave?
Frank Sinatra;What'll I Do?
Frank Sinatra;What's New?
Frank Sinatra;What's Now Is Now
Frank Sinatra;Whatever Happened To Christmas?
Frank Sinatra;When I Lost You
Frank Sinatra;When I Stop Loving You
Frank Sinatra;When I Take My Sugar To Tea
Frank Sinatra;When I'm Not Near The Girl I Love
Frank Sinatra;When No One Cares
Frank Sinatra;When Somebody Loves You
Frank Sinatra;When The Wind Was Green
Frank Sinatra;When You Awake
Frank Sinatra;When You're Smiling
Frank Sinatra;When Your Lover Has Gone
Frank Sinatra;Where Are You?
Frank Sinatra;Where Do You Go?
Frank Sinatra;Where Is The One?
Frank Sinatra;Where Or When
Frank Sinatra;White Christmas
Frank Sinatra;Why Should I Cry Over You
Frank Sinatra;Why Shouldn't I?
Frank Sinatra;Why Try To Change Me Now?
Frank Sinatra;Willow Weep For Me
